MaxDataDiskCount    MemoryInMB    Name                       NumberOfCores    OsDiskSizeInMB    ResourceDiskSizeInMB
4                   4096          Standard_B2als_v2          2                1047552           0
4                   8192          Standard_B2as_v2           2                1047552           0
4                   1024          Standard_B2ats_v2          2                1047552           0
8                   8192          Standard_B4als_v2          4                1047552           0
8                   16384         Standard_B4as_v2           4                1047552           0
16                  16384         Standard_B8als_v2          8                1047552           0
16                  32768         Standard_B8as_v2           8                1047552           0
32                  32768         Standard_B16als_v2         16               1047552           0
32                  65536         Standard_B16as_v2          16               1047552           0
32                  65536         Standard_B32als_v2         32               1047552           0
32                  131072        Standard_B32as_v2          32               1047552           0
2                   512           Standard_B1ls              1                1047552           4096
2                   2048          Standard_B1ms              1                1047552           4096
2                   1024          Standard_B1s               1                1047552           4096
4                   8192          Standard_B2ms              2                1047552           16384
4                   4096          Standard_B2s               2                1047552           8192
8                   16384         Standard_B4ms              4                1047552           32768
16                  32768         Standard_B8ms              8                1047552           65536
16                  49152         Standard_B12ms             12               1047552           98304
32                  65536         Standard_B16ms             16               1047552           131072
32                  81920         Standard_B20ms             20               1047552           163840
4                   4096          Standard_B2ls_v2           2                1047552           0
4                   8192          Standard_B2s_v2            2                1047552           0
4                   1024          Standard_B2ts_v2           2                1047552           0
8                   8192          Standard_B4ls_v2           4                1047552           0
8                   16384         Standard_B4s_v2            4                1047552           0
16                  16384         Standard_B8ls_v2           8                1047552           0
16                  32768         Standard_B8s_v2            8                1047552           0
32                  32768         Standard_B16ls_v2          16               1047552           0
32                  65536         Standard_B16s_v2           16               1047552           0
32                  65536         Standard_B32ls_v2          32               1047552           0
32                  131072        Standard_B32s_v2           32               1047552           0
32                  466944        Standard_HB120-16rs_v2     120              1047552           491520
32                  466944        Standard_HB120-32rs_v2     120              1047552           491520
32                  466944        Standard_HB120-64rs_v2     120              1047552           491520
32                  466944        Standard_HB120-96rs_v2     120              1047552           491520
32                  466944        Standard_HB120rs_v2        120              1047552           491520
32                  458752        Standard_HB368-48rs_v5     368              1047552           491520
32                  458752        Standard_HB368-96rs_v5     368              1047552           491520
32                  458752        Standard_HB368-144rs_v5    368              1047552           491520
32                  458752        Standard_HB368-192rs_v5    368              1047552           491520
32                  458752        Standard_HB368-240rs_v5    368              1047552           491520
32                  458752        Standard_HB368-288rs_v5    368              1047552           491520
32                  458752        Standard_HB368-336rs_v5    368              1047552           491520
32                  458752        Standard_HB368rs_v5        368              1047552           491520
4                   4096          Standard_B2pls_v2          2                1047552           0
4                   8192          Standard_B2ps_v2           2                1047552           0
4                   1024          Standard_B2pts_v2          2                1047552           0
8                   8192          Standard_B4pls_v2          4                1047552           0
8                   16384         Standard_B4ps_v2           4                1047552           0
16                  16384         Standard_B8pls_v2          8                1047552           0
16                  32768         Standard_B8ps_v2           8                1047552           0
32                  32768         Standard_B16pls_v2         16               1047552           0
32                  65536         Standard_B16ps_v2          16               1047552           0
32                  786432        Standard_HB176-24rs_v4     176              1047552           491520
32                  786432        Standard_HB176-48rs_v4     176              1047552           491520
32                  786432        Standard_HB176-96rs_v4     176              1047552           491520
32                  786432        Standard_HB176-144rs_v4    176              1047552           491520
32                  786432        Standard_HB176rs_v4        176              1047552           491520
32                  466944        Standard_HB120-16rs_v3     120              1047552           491520
32                  466944        Standard_HB120-32rs_v3     120              1047552           491520
32                  466944        Standard_HB120-64rs_v3     120              1047552           491520
32                  466944        Standard_HB120-96rs_v3     120              1047552           491520
32                  466944        Standard_HB120rs_v3        120              1047552           491520
